City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
279,tamanrasset,22.785,5.5228,15.95,17,0,8.75,DZ,1708417206
280,al kharj,24.155,47.3346,21.32,22,6,4.26,SA,1708417206
281,khandyga,62.6667,135.6,-33.28,99,100,0.32,RU,1708417207
282,bengkulu,-3.8004,102.2655,28.59,82,100,1.97,ID,1708417208
283,streator,41.1209,-88.8354,0.87,92,3,3.37,US,1708417208
284,eregli,37.5133,34.0467,5.71,54,6,1.51,TR,1708417209
285,thinadhoo,0.5333,72.9333,28.31,82,31,5.03,MV,1708417210
286,prado,-17.3411,-39.2208,24.67,88,99,4.41,BR,1708417211
287,alofi,-19.0595,-169.9187,26.94,94,75,3.09,NU,1708417211
288,bedesa,8.9,40.7833,24.95,41,96,1.07,ET,1708417041
289,arraial do cabo,-22.9661,-42.0278,19.98,100,100,0.0,BR,1708417213
290,puerto ayora,-0.7393,-90.3518,24.75,98,100,0.89,EC,1708417213
291,crestview,30.7621,-86.5705,6.6,84,0,1.54,US,1708417214
292,cole harbour,44.6724,-63.4751,-8.29,67,18,3.12,CA,1708417215
293,soe,-9.8607,124.284,26.7,65,84,3.14,ID,1708417215
294,katsuren-haebaru,26.3369,127.8719,25.22,75,100,4.12,JP,1708417216
295,suva,-18.1416,178.4415,24.71,100,75,1.03,FJ,1708417217
296,penon blanco,24.7897,-104.0369,14.17,36,0,1.67,MX,1708417218
297,kandiaro,27.0601,68.2091,29.43,11,0,2.33,PK,1708417220
298,el calafate,-50.3408,-72.2768,13.22,85,72,3.66,AR,1708417221
299,klyuchi,52.2667,79.1667,-20.98,81,6,2.73,RU,1708417222
300,childersburg,33.2782,-86.355,6.7,93,100,0.0,US,1708417223
301,kristiansund,63.1115,7.732,4.36,70,75,2.06,NO,1708417224
302,sudak,44.85,34.9667,3.19,63,93,1.87,UA,1708417225
303,cabedelo,-6.9811,-34.8339,25.37,82,78,1.97,BR,1708417226
304,goz beida,13.95,20.55,28.46,9,10,6.65,TD,1708417228
305,outokumpu,62.7269,29.0159,-5.06,92,100,3.63,FI,1708417229
306,rhinelander,45.6366,-89.4121,-2.16,74,0,2.57,US,1708417011
307,laojunmiao,39.8333,97.7333,-10.01,56,100,4.76,CN,1708416968
308,ceeldheer,3.8488,47.1806,29.98,46,60,7.49,SO,1708417231
309,qamdo,31.1667,97.2333,1.09,29,100,6.74,CN,1708417232
310,kavieng,-2.5744,150.7967,28.69,78,85,4.11,PG,1708417233
311,saint-joseph,-21.3667,55.6167,29.21,80,41,6.77,RE,1708417234
312,ippy,6.2679,21.2247,32.73,13,90,3.38,CF,1708417235
313,chulakkurgan,43.765,69.1814,-1.53,48,95,2.21,KZ,1708417236
314,fort mcmurray,56.7268,-111.381,-14.23,78,0,1.03,CA,1708417237
315,chibougamau,49.9168,-74.3659,-26.21,76,100,0.0,CA,1708417238
316,mil'kovo,55.6078,37.7956,-6.48,93,98,3.63,RU,1708417238
317,malango,-2.9627,119.9001,25.88,87,90,0.93,ID,1708417239
318,talara,-4.5772,-81.2719,25.04,85,100,3.1,PE,1708417240
319,hermanus,-34.4187,19.2345,24.19,63,39,6.12,ZA,1708417241
320,aurora,39.7294,-104.8319,6.85,42,0,5.66,US,1708416960
321,bologoye,57.8799,34.1068,-7.75,86,96,3.92,RU,1708417242
322,poronaysk,49.2167,143.1167,-18.9,80,81,2.4,RU,1708417243
323,saldanha,-33.0117,17.9442,22.03,79,56,3.44,ZA,1708417243
324,kargasok,59.0556,80.8572,-18.35,76,17,4.92,RU,1708417244
325,fort bragg,35.139,-79.006,4.9,83,0,0.89,US,1708417244
326,skeldon,5.8833,-57.1333,23.63,88,100,2.67,GY,1708417245
327,arteche,12.2645,125.4048,26.98,70,77,4.28,PH,1708417246
328,coquimbo,-29.9533,-71.3436,16.85,94,40,2.06,CL,1708417246
329,alavus,62.5833,23.6167,-0.37,97,100,3.08,FI,1708417248
330,pisco,-13.7,-76.2167,24.03,83,20,1.03,PE,1708417248
331,moree,-29.4667,149.85,31.07,33,64,2.5,AU,1708417249
332,okhotsk,59.3833,143.3,-26.78,84,62,4.91,RU,1708417249
333,griffith,41.5284,-87.4237,1.96,85,0,0.0,US,1708417250
334,caleta de carquin,-11.0925,-77.6267,23.74,83,95,2.82,PE,1708417039
335,zelenogorskiy,55.0333,87.0,-19.39,82,6,1.26,RU,1708417251
336,madera,37.1666,-119.8343,11.22,85,78,2.82,US,1708417081
337,cienfuegos,22.1461,-80.4356,14.08,100,0,1.54,CU,1708417252
338,shanga,11.2106,4.5788,29.06,11,37,3.54,NG,1708417253
339,yakeshi,49.2833,120.7333,-24.25,92,99,6.7,CN,1708416964
340,pankovka,58.5,31.1999,-6.05,85,100,4.05,RU,1708417254
341,popondetta,-8.7537,148.2534,26.09,93,93,1.02,PG,1708417255
342,mount isa,-20.7333,139.5,32.87,46,40,2.57,AU,1708417255
343,ambovombe,-25.1667,46.0833,27.41,54,3,3.33,MG,1708416957
344,necochea,-38.5473,-58.7368,17.17,88,0,3.3,AR,1708417257
345,damaturu,11.747,11.9608,28.21,11,7,4.25,NG,1708417257
346,shushenskoye,53.325,91.9356,-22.27,85,98,0.69,RU,1708417258
347,nadi,-17.8,177.4167,28.0,89,75,2.06,FJ,1708417258
348,rio grande,-32.035,-52.0986,19.41,78,16,4.0,BR,1708417259
349,carbonear,47.7332,-53.2148,-3.09,85,70,9.07,CA,1708417260
350,zyryanovsk,49.7386,84.2719,-25.37,85,7,0.76,KZ,1708417260
351,ati,13.2154,18.3353,30.88,9,9,5.87,TD,1708417261
352,vidyayevo,69.3191,32.8049,-8.47,73,63,5.14,RU,1708417261
353,qarazhal,48.0078,70.7903,-18.8,68,4,6.56,KZ,1708417262
354,perugorria,-29.3413,-58.6106,20.8,85,0,2.76,AR,1708417263
355,monte alegre,-2.0078,-54.0692,23.33,78,99,1.16,BR,1708417263
356,floro,61.5996,5.0328,5.98,87,75,7.2,NO,1708417264
357,zyryanskoye,56.8306,86.6258,-19.48,79,60,0.56,RU,1708417265
358,hirara,24.8,125.2833,25.15,83,75,6.17,JP,1708417265
359,mount pearl,47.5166,-52.7813,-3.81,90,75,8.75,CA,1708417091
360,karratha,-20.7377,116.8463,34.09,47,76,6.93,AU,1708417032
361,jackson,42.4165,-122.8345,10.58,84,40,3.13,US,1708417267
